0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-01,0.467,67.46,62.55,486.98,438.72,0.3,96.87,0.79,4526.7,3820.57,28.5,28.03,962.81,0.18,0.18,38.82,30.14,1.53,1.64,1.11,0.71,0.0,0.72,2.66,4.61,12.05
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000101-02,0.467,66.33,63.45,440.07,428.97,0.29,111.05,0.8,5218.21,3271.65,28.13,27.37,921.84,0.16,0.16,31.46,26.29,1.2,1.08,1.24,0.77,-0.1,0.77,0.0,0.0,
WO1-0000102-01,0.531,68.54,65.6,557.01,492.12,0.26,59.88,0.9,4672.59,7036.77,25.99,26.38,944.12,0.28,0.28,27.55,27.54,1.27,1.06,1.1,0.67,-0.03,0.69,3.41,2.59,
